sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
106012	22_9	54218	43089	794	43089	794	0	0	0	0	41626	6	1375	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	22.32222200	38.85722200	1/1/18	5.0
106006	22_3	38748	29884	657	28266	604	1596	47	22	6	27457	6	635	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	22.32222200	38.85722200	1/1/18	5.0
106008	22_5	43510	33972	723	32242	660	1709	58	21	5	31449	6	774	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	22.32222200	38.85722200	1/1/18	5.0
106009	22_6	56230	44205	899	41695	815	2444	70	66	14	40447	6	1005	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	22.32222200	38.85722200	1/1/18	5.0
106011	22_8	54837	42885	890	41572	836	1288	48	25	6	40002	7	1112	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	22.32222200	38.85722200	1/1/18	5.0
106007	22_4	52666	40864	853	38653	773	2159	68	52	12	37524	6	969	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	22.32222200	38.85722200	1/1/18	5.0
106010	22_7	33220	25874	581	24632	542	1219	33	23	6	23832	7	682	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	22.32222200	38.85722200	1/1/18	5.0
106005	22_2	69765	54487	1044	54487	1044	0	0	0	0	52045	6	1378	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	22.32222200	38.85722200	1/1/18	5.0
105993	29_8	35736	26278	693	26278	693	0	0	0	0	24506	12	2681	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	29.25908900	34.93731400	1/1/19	5.0
105988	29_3	49564	31558	1345	31558	1345	0	0	0	0	28589	38	1787	0	2162	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	29.25908900	34.93731400	1/1/19	5.0
106027	18_6	36771	28734	577	28734	577	0	0	0	0	27524	9	1310	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	18.50329700	40.66174700	4/1/18	5.0
106015	20_3	46199	35183	775	35183	775	0	0	0	0	33586	13	3291	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	20.15811100	40.21060300	4/1/18	5.0
106013	20_1	42418	32339	767	32339	767	0	0	0	0	30499	13	3375	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	20.15811100	40.21060300	4/1/18	5.0
106021	20_9	55155	41571	1078	41565	1076	0	0	6	2	39250	14	4757	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	20.15811100	40.21060300	4/1/18	5.0
106019	20_7	48431	36720	859	36720	859	0	0	0	0	34690	15	4268	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	20.15811100	40.21060300	4/1/18	5.0
106014	20_2	40524	29857	786	29857	786	0	0	0	0	27610	13	3725	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	20.15811100	40.21060300	4/1/18	5.0
106016	20_4	34123	25358	713	25358	713	0	0	0	0	23947	15	3854	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	20.15811100	40.21060300	4/1/18	5.0
106017	20_5	40972	30653	778	30653	778	0	0	0	0	28988	16	4722	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	20.15811100	40.21060300	4/1/18	5.0
106020	20_8	44955	33745	893	33745	893	0	0	0	0	31682	16	5295	0	0	0	0	0	0	0	0	clam	Mollusca 	Bivalvia 	Cardiida	Cardiidae	Tridacna 	maxima	20.15811100	40.21060300	4/1/18	5.0
