sample_uid	A1	A1ej	1481_A	A13a	A13b	29386_A	A1aw	A4u	8177_A	A1eh	29389_A	26443_A	A1av	A1em	29388_A	A1z	2361_A	A1bc	1895_A	5125_A	29391_A	A1bw	55184_A	A13	3269_A	5882_A	A1bx	56774_A	A1bf	1438_A	966_A	A13d	6587_A	7695_A	72723_A	72683_A	A4w	A4v	72724_A	57415_A	2143_A	3262_A	5887_A	A4x	30814_A	72717_A	72716_A	6528_A	2379_A	A1g	72682_A	A1eb	1051_A	A1.2	67400_A	885323_A	56781_A	A3	6364_A	3271_A	72736_A	1892_A	54877_A	963_A	2370_A	54878_A	55937_A	56171_A	72737_A	9535_A	57115_A	72738_A	10672_A	57116_A	72715_A	54515_A	61701_A	57992_A	61510_A	72741_A	72740_A	54512_A	72739_A	A1do	72712_A	59818_A	9426_A	54897_A	72742_A	61511_A	54511_A	8195_A	57047_A	9875_A	56775_A	3283_A	56772_A	22415_A	56360_A	72718_A	54921_A	7447_A	72720_A	885324_A	A1ep	72725_A	5217_A	4625_A	A1bk	72743_A	13479_A	72679_A	56175_A	72744_A	72745_A	A1eq	72752_A	72751_A	72680_A	72681_A	57993_A	B1	C1	C39	C1c	C15	C1b	C64a	C72k	C1x	7602_C	72684_C	C3cm	48404_C	C1w	8530_C	C22b	72685_C	C1al	C3	834_C	864_C	8608_C	849_C	72687_C	2661_C	C15h	C39g	866_C	871_C	C42.2	2087_C	72686_C	644346_C	2093_C	10425_C	72689_C	5966_C	4134_C	C3ew	C39c	879_C	72688_C	13929_C	2953_C	C41	C1af	21508_C	281_C	72690_C	5757_C	C15ai	2727_C	19361_C	11403_C	C39a	72691_C	C1br	72700_C	72692_C	72693_C	72695_C	72696_C	99_C	72694_C	72726_C	1617_C	1191_C	C1bh	C1cb	C15r	14447_C	C3gulf	21038_C	C66	32293_C	72697_C	72699_C	72698_C	C15er	C15a	72727_C	511511_C	72701_C	72703_C	72702_C	C15av	742_C	72704_C	72705_C	C2a	C15gk	C15an	72728_C	4548_C	4105_C	4104_C	28300_C	72707_C	72706_C	72711_C	72710_C	72709_C	72708_C	C72	C2b	C15eo	C15de	72729_C	5688_C	1614_C	15641_C	72719_C	C93a	72731_C	72730_C	1335_C	10788_C	884544_C	14436_C	2170_C	D1	D4	D4c	D6	D4f	D2	D1h	D1r	2795_D	2131_D	5712_D	2986_D	2102_D	D10	D5m	908_D	D17d	6884_D	D17c	D1u	D1c	D6c	D4d	D4i	2899_D	D17e	D4k	72749_D	2896_D	2897_D	10401_D	D17k	1751_D	D17	72713_D	2615_D	21129_D	D4j	6835_D	72750_D	10174_D	72722_D	29125_D	14962_D	72746_F	72747_F	72721_F	72748_F
106012	0.9430644308845433	0	0.020996492576754913	0	0	0	0.005261134867630807	0	0	0	0	0	0	0.018642194782107338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005909767933503099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006125978955460529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106006	0.9003532796736715	0	0.01759114251374877	0	0	0	0.045780675237644314	0	0	0	0	0	0	0.01241941945587646	0	0	0	0.018319554212040644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005535928907018247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106008	0.9061655378549397	0	0.019714458329358645	0	0	0	0.04009666444084073	0	0	0	0	0	0	0.011860472511049635	0	0	0	0.01726604979490604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004896817068905212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106009	0.9026627438376147	0	0.01970479887259871	0	0	0	0.04217865354661656	0	0	0	0	0	0	0.011496526318391969	0	0	0	0.01881474522214256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005142532202635548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106011	0.9038298085095745	0	0.018499075046247686	0	0	0	0.037723113844307786	0	0	0	0	0	0	0.013824308784560773	0	0	0	0.0168241587920604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004549772511374431	0	0	0	0	0.004749762511874406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106007	0.8986781792985823	0	0.019267668692037096	0	0	0	0.042399530966847884	0	0	0	0	0	0	0.012018974522971964	0	0	0	0.02107984223430338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006555804285257435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106010	0.8983719368915744	0	0.019133937562940583	0	0	0	0.041666666666666664	0	0	0	0	0	0	0.011497146693521317	0	0	0	0.019847264182611613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049513259483048005	0	0	0	0	0.004531722054380665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106005	0.9082332596791238	0	0.020597559804015755	0	0	0	0.02787971947353252	0	0	0	0	0	0	0.007512729368815448	0	0	0	0.029897204342396004	0	0	0	0	0	0	0	0	0	0	0	0.0058795273321164375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105993	0.8491797927038276	0	0.01921978291030768	0	0	0	0.005631273973720721	0	0	0	0	0	0	0.035787154166326614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010772871949726598	0	0	0	0	0	0	0	0	0.03501183383661144	0.008610136293152697	0	0	0	0.008324491961152371	0	0	0.00701868930057945	0.007794009630294621	0	0	0	0	0	0	0.007100301966865258	0	0	0	0	0	0	0.0055496613074349135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105988	0.35636083808457797	0	0.006855783693028787	0	0	0	0.005001923816852636	0	0	0	0	0	0	0.05323725908566232	0	0	0	0	0	0	0	0.019413060967504985	0	0	0	0	0.013221868550841233	0	0.012662212739165414	0	0.004827031375703942	0	0	0	0	0	0	0	0	0	0.007555353457623561	0	0	0	0.007835181363461471	0	0	0.005981321487285319	0.0031830424289062227	0	0	0.005736472069677149	0	0	0	0.012277449368638288	0	0	0	0	0	0.003357934870054916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004652138934555248	0	0	0	0	0	0	0	0	0	0	0	0	0.003043128475987268	0.002938193011298052	0	0	0	0	0.11200111931162335	0.2235475182762601	0	0	0.02875231732484522	0	0	0	0	0	0.003043128475987268	0	0.00870964356920494	0.021791598167127217	0	0	0	0	0	0	0.01112315925705691	0	0	0.010668438910070306	0	0.01003882612193501	0	0	0	0.007695267410542516	0	0	0.005246773234460806	0.005246773234460806	0	0	0	0	0.004477246493406555	0	0	0.0037776767288117807	0	0	0.003392913358284655	0	0	0	0.002763300570149358	0	0.0025184511525411873	0.00244849417608171	0.0023435587113924935	0.002273601734933016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
